,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,0,2021-04-01 00:00:00,-190.0,22,2021-04-01 00:22:00,-190.0,22,2021-04-01 00:22:00,-190.0,89,2021-04-01 01:29:00,-18.0,89,2021-04-01 01:29:00,-18.0,126,2021-04-01 02:06:00,-190.0
1,126,2021-04-01 02:06:00,-190.0,156,2021-04-01 02:36:00,-190.0,156,2021-04-01 02:36:00,-190.0,223,2021-04-01 03:43:00,-20.0,223,2021-04-01 03:43:00,-20.0,260,2021-04-01 04:20:00,-188.0
2,260,2021-04-01 04:20:00,-188.0,287,2021-04-01 04:47:00,-189.0,287,2021-04-01 04:47:00,-189.0,354,2021-04-01 05:54:00,-19.0,354,2021-04-01 05:54:00,-19.0,391,2021-04-01 06:31:00,-191.0
3,391,2021-04-01 06:31:00,-191.0,437,2021-04-01 07:17:00,-191.0,437,2021-04-01 07:17:00,-191.0,507,2021-04-01 08:27:00,-12.0,507,2021-04-01 08:27:00,-12.0,602,2021-04-01 10:02:00,-190.0
4,602,2021-04-01 10:02:00,-190.0,667,2021-04-01 11:07:00,-191.0,667,2021-04-01 11:07:00,-191.0,733,2021-04-01 12:13:00,-21.0,733,2021-04-01 12:13:00,-21.0,770,2021-04-01 12:50:00,-190.0
5,770,2021-04-01 12:50:00,-190.0,807,2021-04-01 13:27:00,-190.0,807,2021-04-01 13:27:00,-190.0,873,2021-04-01 14:33:00,-21.0,873,2021-04-01 14:33:00,-21.0,909,2021-04-01 15:09:00,-189.0
6,909,2021-04-01 15:09:00,-189.0,942,2021-04-01 15:42:00,-189.0,942,2021-04-01 15:42:00,-189.0,1007,2021-04-01 16:47:00,-22.0,1007,2021-04-01 16:47:00,-22.0,1044,2021-04-01 17:24:00,-189.0
7,1044,2021-04-01 17:24:00,-189.0,1087,2021-04-01 18:07:00,-189.0,1087,2021-04-01 18:07:00,-189.0,1153,2021-04-01 19:13:00,-20.0,1153,2021-04-01 19:13:00,-20.0,1189,2021-04-01 19:49:00,-190.0
8,1189,2021-04-01 19:49:00,-190.0,1237,2021-04-01 20:37:00,-191.0,1237,2021-04-01 20:37:00,-191.0,1306,2021-04-01 21:46:00,-14.0,1306,2021-04-01 21:46:00,-14.0,1401,2021-04-01 23:21:00,-191.0
9,1401,2021-04-01 23:21:00,-191.0,1462,2021-04-02 00:22:00,-190.0,1462,2021-04-02 00:22:00,-190.0,1528,2021-04-02 01:28:00,-21.0,1528,2021-04-02 01:28:00,-21.0,1565,2021-04-02 02:05:00,-190.0
10,1565,2021-04-02 02:05:00,-190.0,1596,2021-04-02 02:36:00,-190.0,1596,2021-04-02 02:36:00,-190.0,1663,2021-04-02 03:43:00,-20.0,1663,2021-04-02 03:43:00,-20.0,1700,2021-04-02 04:20:00,-189.0
11,1700,2021-04-02 04:20:00,-189.0,1727,2021-04-02 04:47:00,-189.0,1727,2021-04-02 04:47:00,-189.0,1793,2021-04-02 05:53:00,-21.0,1793,2021-04-02 05:53:00,-21.0,1830,2021-04-02 06:30:00,-190.0
12,1830,2021-04-02 06:30:00,-190.0,1877,2021-04-02 07:17:00,-190.0,1877,2021-04-02 07:17:00,-190.0,1946,2021-04-02 08:26:00,-14.0,1946,2021-04-02 08:26:00,-14.0,2042,2021-04-02 10:02:00,-191.0
13,2042,2021-04-02 10:02:00,-191.0,2107,2021-04-02 11:07:00,-191.0,2107,2021-04-02 11:07:00,-191.0,2174,2021-04-02 12:14:00,-19.0,2174,2021-04-02 12:14:00,-19.0,2211,2021-04-02 12:51:00,-191.0
14,2211,2021-04-02 12:51:00,-191.0,2247,2021-04-02 13:27:00,-191.0,2247,2021-04-02 13:27:00,-191.0,2314,2021-04-02 14:34:00,-19.0,2314,2021-04-02 14:34:00,-19.0,2351,2021-04-02 15:11:00,-190.0
15,2351,2021-04-02 15:11:00,-190.0,2382,2021-04-02 15:42:00,-190.0,2382,2021-04-02 15:42:00,-190.0,2448,2021-04-02 16:48:00,-20.0,2448,2021-04-02 16:48:00,-20.0,2485,2021-04-02 17:25:00,-189.0
16,2485,2021-04-02 17:25:00,-189.0,2527,2021-04-02 18:07:00,-189.0,2527,2021-04-02 18:07:00,-189.0,2593,2021-04-02 19:13:00,-20.0,2593,2021-04-02 19:13:00,-20.0,2630,2021-04-02 19:50:00,-190.0
17,2630,2021-04-02 19:50:00,-190.0,2677,2021-04-02 20:37:00,-190.0,2677,2021-04-02 20:37:00,-190.0,2747,2021-04-02 21:47:00,-11.0,2747,2021-04-02 21:47:00,-11.0,2842,2021-04-02 23:22:00,-190.0
18,2842,2021-04-02 23:22:00,-190.0,2902,2021-04-03 00:22:00,-190.0,2902,2021-04-03 00:22:00,-190.0,2969,2021-04-03 01:29:00,-19.0,2969,2021-04-03 01:29:00,-19.0,3006,2021-04-03 02:06:00,-191.0
19,3006,2021-04-03 02:06:00,-191.0,3037,2021-04-03 02:37:00,-191.0,3037,2021-04-03 02:37:00,-191.0,3103,2021-04-03 03:43:00,-21.0,3103,2021-04-03 03:43:00,-21.0,3140,2021-04-03 04:20:00,-190.0
20,3140,2021-04-03 04:20:00,-190.0,3167,2021-04-03 04:47:00,-190.0,3167,2021-04-03 04:47:00,-190.0,3234,2021-04-03 05:54:00,-18.0,3234,2021-04-03 05:54:00,-18.0,3271,2021-04-03 06:31:00,-190.0
21,3271,2021-04-03 06:31:00,-190.0,3317,2021-04-03 07:17:00,-191.0,3317,2021-04-03 07:17:00,-191.0,3388,2021-04-03 08:28:00,-11.0,3388,2021-04-03 08:28:00,-11.0,3483,2021-04-03 10:03:00,-193.0
22,3483,2021-04-03 10:03:00,-193.0,3546,2021-04-03 11:06:00,-192.0,3546,2021-04-03 11:06:00,-192.0,3613,2021-04-03 12:13:00,-22.0,3613,2021-04-03 12:13:00,-22.0,3650,2021-04-03 12:50:00,-190.0
23,3650,2021-04-03 12:50:00,-190.0,3687,2021-04-03 13:27:00,-190.0,3687,2021-04-03 13:27:00,-190.0,3753,2021-04-03 14:33:00,-21.0,3753,2021-04-03 14:33:00,-21.0,3790,2021-04-03 15:10:00,-190.0
24,3790,2021-04-03 15:10:00,-190.0,3822,2021-04-03 15:42:00,-190.0,3822,2021-04-03 15:42:00,-190.0,3888,2021-04-03 16:48:00,-22.0,3888,2021-04-03 16:48:00,-22.0,3925,2021-04-03 17:25:00,-190.0
25,3925,2021-04-03 17:25:00,-190.0,3967,2021-04-03 18:07:00,-190.0,3967,2021-04-03 18:07:00,-190.0,4033,2021-04-03 19:13:00,-21.0,4033,2021-04-03 19:13:00,-21.0,4070,2021-04-03 19:50:00,-190.0
26,4070,2021-04-03 19:50:00,-190.0,4117,2021-04-03 20:37:00,-190.0,4117,2021-04-03 20:37:00,-190.0,4187,2021-04-03 21:47:00,-11.0,4187,2021-04-03 21:47:00,-11.0,4282,2021-04-03 23:22:00,-190.0
27,4282,2021-04-03 23:22:00,-190.0,4342,2021-04-04 00:22:00,-190.0,4342,2021-04-04 00:22:00,-190.0,4408,2021-04-04 01:28:00,-21.0,4408,2021-04-04 01:28:00,-21.0,4445,2021-04-04 02:05:00,-190.0
28,4445,2021-04-04 02:05:00,-190.0,4477,2021-04-04 02:37:00,-190.0,4477,2021-04-04 02:37:00,-190.0,4544,2021-04-04 03:44:00,-19.0,4544,2021-04-04 03:44:00,-19.0,4581,2021-04-04 04:21:00,-190.0
29,4581,2021-04-04 04:21:00,-190.0,4607,2021-04-04 04:47:00,-190.0,4607,2021-04-04 04:47:00,-190.0,4673,2021-04-04 05:53:00,-21.0,4673,2021-04-04 05:53:00,-21.0,4710,2021-04-04 06:30:00,-190.0
30,4710,2021-04-04 06:30:00,-190.0,4757,2021-04-04 07:17:00,-190.0,4757,2021-04-04 07:17:00,-190.0,4827,2021-04-04 08:27:00,-11.0,4827,2021-04-04 08:27:00,-11.0,4922,2021-04-04 10:02:00,-191.0
31,4922,2021-04-04 10:02:00,-191.0,4987,2021-04-04 11:07:00,-191.0,4987,2021-04-04 11:07:00,-191.0,5054,2021-04-04 12:14:00,-19.0,5054,2021-04-04 12:14:00,-19.0,5091,2021-04-04 12:51:00,-191.0
32,5091,2021-04-04 12:51:00,-191.0,5127,2021-04-04 13:27:00,-191.0,5127,2021-04-04 13:27:00,-191.0,5193,2021-04-04 14:33:00,-22.0,5193,2021-04-04 14:33:00,-22.0,5230,2021-04-04 15:10:00,-190.0
33,5230,2021-04-04 15:10:00,-190.0,5262,2021-04-04 15:42:00,-190.0,5262,2021-04-04 15:42:00,-190.0,5328,2021-04-04 16:48:00,-21.0,5328,2021-04-04 16:48:00,-21.0,5365,2021-04-04 17:25:00,-190.0
34,5365,2021-04-04 17:25:00,-190.0,5407,2021-04-04 18:07:00,-190.0,5407,2021-04-04 18:07:00,-190.0,5473,2021-04-04 19:13:00,-21.0,5473,2021-04-04 19:13:00,-21.0,5510,2021-04-04 19:50:00,-190.0
35,5510,2021-04-04 19:50:00,-190.0,5557,2021-04-04 20:37:00,-190.0,5557,2021-04-04 20:37:00,-190.0,5626,2021-04-04 21:46:00,-14.0,5626,2021-04-04 21:46:00,-14.0,5715,2021-04-04 23:15:00,-190.0
36,5715,2021-04-04 23:15:00,-190.0,5782,2021-04-05 00:22:00,-190.0,5782,2021-04-05 00:22:00,-190.0,5848,2021-04-05 01:28:00,-21.0,5848,2021-04-05 01:28:00,-21.0,5885,2021-04-05 02:05:00,-189.0
37,5885,2021-04-05 02:05:00,-189.0,5917,2021-04-05 02:37:00,-191.0,5917,2021-04-05 02:37:00,-191.0,5984,2021-04-05 03:44:00,-20.0,5984,2021-04-05 03:44:00,-20.0,6022,2021-04-05 04:22:00,-191.0
38,6022,2021-04-05 04:22:00,-191.0,6047,2021-04-05 04:47:00,-191.0,6047,2021-04-05 04:47:00,-191.0,6113,2021-04-05 05:53:00,-21.0,6113,2021-04-05 05:53:00,-21.0,6150,2021-04-05 06:30:00,-190.0
39,6150,2021-04-05 06:30:00,-190.0,6197,2021-04-05 07:17:00,-190.0,6197,2021-04-05 07:17:00,-190.0,6266,2021-04-05 08:26:00,-13.0,6266,2021-04-05 08:26:00,-13.0,6361,2021-04-05 10:01:00,-191.0
40,6361,2021-04-05 10:01:00,-191.0,6427,2021-04-05 11:07:00,-191.0,6427,2021-04-05 11:07:00,-191.0,6494,2021-04-05 12:14:00,-19.0,6494,2021-04-05 12:14:00,-19.0,6531,2021-04-05 12:51:00,-191.0
41,6531,2021-04-05 12:51:00,-191.0,6567,2021-04-05 13:27:00,-191.0,6567,2021-04-05 13:27:00,-191.0,6633,2021-04-05 14:33:00,-21.0,6633,2021-04-05 14:33:00,-21.0,6670,2021-04-05 15:10:00,-189.0
42,6670,2021-04-05 15:10:00,-189.0,6702,2021-04-05 15:42:00,-190.0,6702,2021-04-05 15:42:00,-190.0,6769,2021-04-05 16:49:00,-18.0,6769,2021-04-05 16:49:00,-18.0,6806,2021-04-05 17:26:00,-190.0
43,6806,2021-04-05 17:26:00,-190.0,6847,2021-04-05 18:07:00,-190.0,6847,2021-04-05 18:07:00,-190.0,6913,2021-04-05 19:13:00,-21.0,6913,2021-04-05 19:13:00,-21.0,6950,2021-04-05 19:50:00,-190.0
44,6950,2021-04-05 19:50:00,-190.0,6997,2021-04-05 20:37:00,-190.0,6997,2021-04-05 20:37:00,-190.0,7066,2021-04-05 21:46:00,-13.0,7066,2021-04-05 21:46:00,-13.0,7161,2021-04-05 23:21:00,-189.0
45,7161,2021-04-05 23:21:00,-189.0,7222,2021-04-06 00:22:00,-190.0,7222,2021-04-06 00:22:00,-190.0,7288,2021-04-06 01:28:00,-21.0,7288,2021-04-06 01:28:00,-21.0,7325,2021-04-06 02:05:00,-190.0
46,7325,2021-04-06 02:05:00,-190.0,7357,2021-04-06 02:37:00,-190.0,7357,2021-04-06 02:37:00,-190.0,7424,2021-04-06 03:44:00,-19.0,7424,2021-04-06 03:44:00,-19.0,7461,2021-04-06 04:21:00,-190.0
47,7461,2021-04-06 04:21:00,-190.0,7487,2021-04-06 04:47:00,-191.0,7487,2021-04-06 04:47:00,-191.0,7554,2021-04-06 05:54:00,-18.0,7554,2021-04-06 05:54:00,-18.0,7591,2021-04-06 06:31:00,-189.0
48,7591,2021-04-06 06:31:00,-189.0,7637,2021-04-06 07:17:00,-190.0,7637,2021-04-06 07:17:00,-190.0,7706,2021-04-06 08:26:00,-13.0,7706,2021-04-06 08:26:00,-13.0,7801,2021-04-06 10:01:00,-189.0
49,7801,2021-04-06 10:01:00,-189.0,7867,2021-04-06 11:07:00,-190.0,7867,2021-04-06 11:07:00,-190.0,7934,2021-04-06 12:14:00,-18.0,7934,2021-04-06 12:14:00,-18.0,7971,2021-04-06 12:51:00,-190.0
