,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,0,2021-07-01 00:00:00,-191.0,22,2021-07-01 00:22:00,-191.0,22,2021-07-01 00:22:00,-191.0,89,2021-07-01 01:29:00,-19.0,89,2021-07-01 01:29:00,-19.0,127,2021-07-01 02:07:00,-191.0
1,127,2021-07-01 02:07:00,-191.0,157,2021-07-01 02:37:00,-191.0,157,2021-07-01 02:37:00,-191.0,223,2021-07-01 03:43:00,-22.0,223,2021-07-01 03:43:00,-22.0,259,2021-07-01 04:19:00,-189.0
2,259,2021-07-01 04:19:00,-189.0,287,2021-07-01 04:47:00,-190.0,287,2021-07-01 04:47:00,-190.0,354,2021-07-01 05:54:00,-20.0,354,2021-07-01 05:54:00,-20.0,391,2021-07-01 06:31:00,-190.0
3,391,2021-07-01 06:31:00,-190.0,437,2021-07-01 07:17:00,-190.0,437,2021-07-01 07:17:00,-190.0,507,2021-07-01 08:27:00,-11.0,507,2021-07-01 08:27:00,-11.0,602,2021-07-01 10:02:00,-190.0
4,602,2021-07-01 10:02:00,-190.0,667,2021-07-01 11:07:00,-190.0,667,2021-07-01 11:07:00,-190.0,734,2021-07-01 12:14:00,-18.0,734,2021-07-01 12:14:00,-18.0,771,2021-07-01 12:51:00,-190.0
5,771,2021-07-01 12:51:00,-190.0,807,2021-07-01 13:27:00,-190.0,807,2021-07-01 13:27:00,-190.0,874,2021-07-01 14:34:00,-19.0,874,2021-07-01 14:34:00,-19.0,911,2021-07-01 15:11:00,-190.0
6,911,2021-07-01 15:11:00,-190.0,942,2021-07-01 15:42:00,-190.0,942,2021-07-01 15:42:00,-190.0,1007,2021-07-01 16:47:00,-24.0,1007,2021-07-01 16:47:00,-24.0,1044,2021-07-01 17:24:00,-190.0
7,1044,2021-07-01 17:24:00,-190.0,1087,2021-07-01 18:07:00,-190.0,1087,2021-07-01 18:07:00,-190.0,1153,2021-07-01 19:13:00,-22.0,1153,2021-07-01 19:13:00,-22.0,1190,2021-07-01 19:50:00,-190.0
8,1190,2021-07-01 19:50:00,-190.0,1237,2021-07-01 20:37:00,-190.0,1237,2021-07-01 20:37:00,-190.0,1307,2021-07-01 21:47:00,-10.0,1307,2021-07-01 21:47:00,-10.0,1402,2021-07-01 23:22:00,-190.0
9,1402,2021-07-01 23:22:00,-190.0,1462,2021-07-02 00:22:00,-190.0,1462,2021-07-02 00:22:00,-190.0,1529,2021-07-02 01:29:00,-19.0,1529,2021-07-02 01:29:00,-19.0,1566,2021-07-02 02:06:00,-190.0
10,1566,2021-07-02 02:06:00,-190.0,1597,2021-07-02 02:37:00,-190.0,1597,2021-07-02 02:37:00,-190.0,1664,2021-07-02 03:44:00,-18.0,1664,2021-07-02 03:44:00,-18.0,1701,2021-07-02 04:21:00,-190.0
11,1701,2021-07-02 04:21:00,-190.0,1727,2021-07-02 04:47:00,-190.0,1727,2021-07-02 04:47:00,-190.0,1794,2021-07-02 05:54:00,-19.0,1794,2021-07-02 05:54:00,-19.0,1831,2021-07-02 06:31:00,-191.0
12,1831,2021-07-02 06:31:00,-191.0,1877,2021-07-02 07:17:00,-191.0,1877,2021-07-02 07:17:00,-191.0,1947,2021-07-02 08:27:00,-12.0,1947,2021-07-02 08:27:00,-12.0,2043,2021-07-02 10:03:00,-190.0
13,2043,2021-07-02 10:03:00,-190.0,2107,2021-07-02 11:07:00,-189.0,2107,2021-07-02 11:07:00,-189.0,2174,2021-07-02 12:14:00,-18.0,2174,2021-07-02 12:14:00,-18.0,2211,2021-07-02 12:51:00,-190.0
14,2211,2021-07-02 12:51:00,-190.0,2247,2021-07-02 13:27:00,-190.0,2247,2021-07-02 13:27:00,-190.0,2314,2021-07-02 14:34:00,-18.0,2314,2021-07-02 14:34:00,-18.0,2351,2021-07-02 15:11:00,-190.0
15,2351,2021-07-02 15:11:00,-190.0,2382,2021-07-02 15:42:00,-190.0,2382,2021-07-02 15:42:00,-190.0,2449,2021-07-02 16:49:00,-18.0,2449,2021-07-02 16:49:00,-18.0,2486,2021-07-02 17:26:00,-190.0
16,2486,2021-07-02 17:26:00,-190.0,2527,2021-07-02 18:07:00,-190.0,2527,2021-07-02 18:07:00,-190.0,2594,2021-07-02 19:14:00,-19.0,2594,2021-07-02 19:14:00,-19.0,2631,2021-07-02 19:51:00,-190.0
17,2631,2021-07-02 19:51:00,-190.0,2677,2021-07-02 20:37:00,-190.0,2677,2021-07-02 20:37:00,-190.0,2746,2021-07-02 21:46:00,-13.0,2746,2021-07-02 21:46:00,-13.0,2840,2021-07-02 23:20:00,-190.0
18,2840,2021-07-02 23:20:00,-190.0,2902,2021-07-03 00:22:00,-190.0,2902,2021-07-03 00:22:00,-190.0,2969,2021-07-03 01:29:00,-18.0,2969,2021-07-03 01:29:00,-18.0,3006,2021-07-03 02:06:00,-191.0
