,chlora
10.0,17.659404388714734
20.0,9.392760722347631
40.0,6.5346197231833925
60.0,6.457999615384616
80.0,1.912804255319149
100.0,1.704401745200698
120.0,4.167281118881119
140.0,1.6953766561514199
160.0,9.964916428571431
180.0,10.683477205882355
200.0,0.010844444444444445
