,profile_id,pressure,salinity,temperature,cdom,chla,doxy,nitrate,ph_in_situ_total,pressure_argoqc,salinity_argoqc,temperature_argoqc,cdom_argoqc,chla_argoqc,doxy_argoqc,nitrate_argoqc,ph_in_situ_total_argoqc,lat,lon,date
0,4903499_037,2.2,32.046001,18.829,0.601885,0.09025,227.205597,,1.9407,1.0,1.0,1.0,3.0,3.0,3.0,,3.0,46.5267,-126.5851,2023-08-22T10:00:37.001Z
1,4903499_037,4.1,32.047001,18.841999,0.601885,0.09025,227.151703,,1.9568,1.0,1.0,1.0,3.0,3.0,3.0,,3.0,46.5267,-126.5851,2023-08-22T10:00:37.001Z
2,4903499_037,6.0,32.047001,18.843,0.594804,0.0912,227.085999,,1.9762,1.0,1.0,1.0,3.0,3.0,3.0,,3.0,46.5267,-126.5851,2023-08-22T10:00:37.001Z
3,4903499_037,8.1,32.048,18.844,0.587723,0.0912,227.109802,3.158335,2.0034,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,46.5267,-126.5851,2023-08-22T10:00:37.001Z
4,4903499_037,10.1,32.048,18.844,0.601885,0.09595,227.102402,,2.0591,1.0,1.0,1.0,3.0,3.0,3.0,,3.0,46.5267,-126.5851,2023-08-22T10:00:37.001Z
5,4903499_037,12.200001,32.048,18.846001,0.587723,0.0912,227.091095,3.123583,2.2346,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,46.5267,-126.5851,2023-08-22T10:00:37.001Z
6,4903499_037,14.1,32.048,18.846001,0.580642,0.095,227.058197,,2.6814,1.0,1.0,1.0,3.0,3.0,3.0,,3.0,46.5267,-126.5851,2023-08-22T10:00:37.001Z
7,4903499_037,16.1,32.048,18.846001,0.587723,0.0931,227.065094,3.249007,2.7414,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,46.5267,-126.5851,2023-08-22T10:00:37.001Z
8,4903499_037,18.1,32.048,18.848,0.608966,0.09025,227.001602,,2.7993,1.0,1.0,1.0,3.0,4.0,3.0,,4.0,46.5267,-126.5851,2023-08-22T10:00:37.001Z
9,4903499_037,20.1,32.048,18.849001,0.594804,0.09595,227.018402,,2.7708,1.0,1.0,1.0,3.0,3.0,3.0,,3.0,46.5267,-126.5851,2023-08-22T10:00:37.001Z
10,4903499_037,22.1,32.047001,18.843,0.594804,0.09975,227.041901,3.009089,2.6683,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,46.5267,-126.5851,2023-08-22T10:00:37.001Z
11,4903499_037,24.0,32.049,18.813999,0.594804,0.10545,227.097595,,2.3985,1.0,1.0,1.0,3.0,3.0,3.0,,3.0,46.5267,-126.5851,2023-08-22T10:00:37.001Z
12,4903499_037,26.6,32.054001,18.816999,0.594804,0.1083,225.595596,-1.148211,2.5052,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,46.5267,-126.5851,2023-08-22T10:00:37.001Z
13,4903499_037,27.9,32.055,18.76,0.594804,0.11495,226.730606,,2.5339,1.0,1.0,1.0,3.0,3.0,3.0,,3.0,46.5267,-126.5851,2023-08-22T10:00:37.001Z
14,4903499_037,30.0,32.174,15.906,0.686857,0.12825,260.2742,,3.6693,1.0,1.0,1.0,3.0,3.0,3.0,,4.0,46.5267,-126.5851,2023-08-22T10:00:37.001Z
15,4903499_037,32.099998,32.209,15.183,0.693938,0.1292,267.371613,3.008307,3.4377,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,46.5267,-126.5851,2023-08-22T10:00:37.001Z
16,4903499_037,34.5,32.245998,14.591,0.701019,0.1482,272.343292,,3.4166,1.0,1.0,1.0,3.0,3.0,3.0,,3.0,46.5267,-126.5851,2023-08-22T10:00:37.001Z
17,4903499_037,36.0,32.254002,14.201,0.722262,0.1653,276.433807,2.463234,4.1003,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,46.5267,-126.5851,2023-08-22T10:00:37.001Z
